Accession	Main product	Biosynthetic class	Organism
BGC0000164	tetronomycin	Polyketide	Streptomyces sp. NRRL 11266
BGC0001293	cyclizidine	Polyketide	Streptomyces sp. NCIB 11649
BGC0001537	butyrolactol A	Polyketide	Streptomyces sp. NBRC 110030
BGC0001199	akaeolide	Polyketide	Streptomyces sp. NBRC 109706
BGC0001200	lorneic acid A	Polyketide	Streptomyces sp. NBRC 109706
BGC0001332	microtermolide A	NRP	Streptomyces sp. MspMP-M5
BGC0001332	microtermolide A	Polyketide	Streptomyces sp. MspMP-M5
BGC0001296	streptazone E	Polyketide	Streptomyces sp. MSC090213JE08
BGC0001623	ishigamide	NRP	Streptomyces sp. MSC090213JE08
BGC0001623	ishigamide	Polyketide	Streptomyces sp. MSC090213JE08
BGC0000097	ML-449	Modular type I polyketide	Streptomyces sp. MP39-85
BGC0001647	lagunapyrone A, lagunapyrone B, lagunapyrone C	Polyketide	Streptomyces sp. MP131-18
BGC0000078	incednine	Polyketide	Streptomyces sp. ML694-90F3
BGC0001036	polyoxypeptin	Polyketide	Streptomyces sp. MK498-98F14
BGC0001036	polyoxypeptin	NRP	Streptomyces sp. MK498-98F14
BGC0000042	cremimycin	Polyketide	Streptomyces sp. MJ635-86F5
BGC0001752	qinichelins	NRP	Streptomyces sp. MBT76
BGC0001294	7-prenylisatin	Other	Streptomyces sp. MBT28
BGC0000353	tacrolimus	NRP	Streptomyces sp. MA6548
BGC0001903	neocarazostatin A	Other	Streptomyces sp. MA37
BGC0001928	(2R,3S,4S)-5-fluoro-2,3,4-trihydroxypentanoic acid	Other	Streptomyces sp. MA37
BGC0000075	hygrocin A, hygrocin B	Polyketide	Streptomyces sp. LZ35
BGC0000340	echoside A, echoside B, echoside C, echoside D, echoside E	NRP	Streptomyces sp. LZ35
BGC0001492	abyssomicin M, abyssomicin N, abyssomicin O, abyssomicin P, abyssomicin Q, abyssomicin R, abyssomicin S, abyssomicin T, abyssomicin U, abyssomicin V, abyssomicin W, abyssomicin X	Polyketide	Streptomyces sp. LC-6-2
BGC0000360	GE81112	NRP	Streptomyces sp. L-49973
BGC0001590	formicamycins A-M	Polyketide	Streptomyces sp. KY5
BGC0000286	viguiepinol	Polyketide	Streptomyces sp. KO-3988
BGC0001078	furaquinocin B	Terpene	Streptomyces sp. KO-3988
BGC0001078	furaquinocin B	Polyketide	Streptomyces sp. KO-3988
BGC0001762	rubrolone A, rubrolone B	Alkaloid	Streptomyces sp. KIB-H033
BGC0000047	10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin	Polyketide	Streptomyces sp. KCTC 0041BP
BGC0001814	ulleungmycin	NRP	Streptomyces sp. KCB13F003
BGC0000998	guadinomine	NRP	Streptomyces sp. K01-0509
BGC0000998	guadinomine	Polyketide	Streptomyces sp. K01-0509
BGC0001553	clifednamide A	NRP	Streptomyces sp. JV178
BGC0001553	clifednamide A	Polyketide	Streptomyces sp. JV178
BGC0000230	griseorhodin A	Type II polyketide	Streptomyces sp. JP95
BGC0001877	cyphomycin	Polyketide	Streptomyces sp. ISID311
BGC0001700	niphimycins C-E	Polyketide	Streptomyces sp. IMB7-145
BGC0001477	lydicamycin	NRP	Streptomyces sp. ID38640
BGC0001477	lydicamycin	Modular type I polyketide	Streptomyces sp. ID38640
BGC0001478	desferrioxamine E	Other	Streptomyces sp. ID38640
BGC0001652	limazepine C, limazepine D, limazepine E, limazepine F, limazepine A	NRP	Streptomyces sp. ICBB 8177
BGC0002034	perquinoline A, perquinoline B, perquinoline C	Other	Streptomyces sp. IB2014 016-6
BGC0000665	xiamycin	Terpene	Streptomyces sp. HKI0576
BGC0000665	xiamycin	Alkaloid	Streptomyces sp. HKI0576
BGC0001119	divergolide A, divergolide B, divergolide C, divergolide D	Modular type I polyketide	Streptomyces sp. HKI0576
BGC0000123	phoslactomycin B	Polyketide	Streptomyces sp. HK803
BGC0001183	lobophorin A	Polyketide	Streptomyces sp. FXJ7.023
BGC0000034	candicidin	Polyketide	Streptomyces sp. FR-008
BGC0000061	levorin A3, C06690, FR-008-III, candicidin A, UNII-AP5PEF5W7U	Polyketide	Streptomyces sp. FR-008
BGC0001366	BE-24566B, zunyimycin A	Polyketide	Streptomyces sp. FJS31-2
BGC0001850	diazaquinomycin A, diazaquinomycin E, diazaquinomycin F, diazaquinomycin G	Shikimate-derived	Streptomyces sp. F001
BGC0000597	SWA-2138	Proteusin	Streptomyces sp. e14
BGC0000950	napsamycin A, napsamycin B, napsamycin C, napsamycin D, mureidomycin A, mureidomycin B	Uridylpeptide	Streptomyces sp. DSM 5940
BGC0000950	napsamycin A, napsamycin B, napsamycin C, napsamycin D, mureidomycin A, mureidomycin B	Nucleoside	Streptomyces sp. DSM 5940
BGC0000029	BE-14106	Modular type I polyketide	Streptomyces sp. DSM 21069
BGC0001233	feglymycin	NRP	Streptomyces sp. DSM 11171
BGC0001188	legonaridin	RiPP	Streptomyces sp. CT34
BGC0000084	laidlomycin	Polyketide	Streptomyces sp. CS684
BGC0000973	collismycin A	NRP	Streptomyces sp. CS40
BGC0000973	collismycin A	Modular type I polyketide	Streptomyces sp. CS40
BGC0001452	sipanmycin	Polyketide	Streptomyces sp. CS149
BGC0001439	antibiotic HKI 10311129, antibiotic A2121-1, cervimycin D, cervimycin C, cervimycin A	Polyketide	Streptomyces sp. CS113
BGC0001439	antibiotic HKI 10311129, antibiotic A2121-1, cervimycin D, cervimycin C, cervimycin A	Hybrid/tailoring saccharide	Streptomyces sp. CS113
BGC0001438	warkmycin CS1, warkmycin CS2	Polyketide	Streptomyces sp. CS057
BGC0001438	warkmycin CS1, warkmycin CS2	Hybrid/tailoring saccharide	Streptomyces sp. CS057
BGC0000106	naphthomycin A	Polyketide	Streptomyces sp. CS
BGC0001558	cosmomycin C	Polyketide	Streptomyces sp. CNT302
BGC0000652	napyradiomycin	Terpene	Streptomyces sp. CNQ525
BGC0001216	splenocin	NRP	Streptomyces sp. CNQ431
BGC0001216	splenocin	Polyketide	Streptomyces sp. CNQ431
BGC0000091	marineosin A, marineosin B	Polyketide	Streptomyces sp. CNQ-617
BGC0001221	marinophenazine A, phenaziterpene A	Phenazine	Streptomyces sp. CNQ-509
BGC0001159	marinopyrrole A, marinopyrrole E, marinopyrrole D, marinopyrrole C, marinopyrrole B	NRP	Streptomyces sp. CNQ-418
BGC0001159	marinopyrrole A, marinopyrrole E, marinopyrrole D, marinopyrrole C, marinopyrrole B	Modular type I polyketide	Streptomyces sp. CNQ-418
BGC0001300	anthracimycin	Polyketide	Streptomyces sp. CNH365
BGC0001083	merochlorin A, merochlorin B, deschloro-merochlorin A, deschloro-merochlorin B, isochloro-merochlorin B, dichloro-merochlorin B, merochlorin D, merochlorin C	Terpene	Streptomyces sp. CNH189
BGC0001083	merochlorin A, merochlorin B, deschloro-merochlorin A, deschloro-merochlorin B, isochloro-merochlorin B, dichloro-merochlorin B, merochlorin D, merochlorin C	Type III polyketide	Streptomyces sp. CNH189
BGC0001172	chlorizidine A	NRP	Streptomyces sp. CNH-287
BGC0001172	chlorizidine A	Modular type I polyketide	Streptomyces sp. CNH-287
BGC0001230	salinamide A, salinamide B, salinamide C, salinamide D, salinamide E, salinamide F, desmethylsalinamide C, desmethylsalinamide E	Cyclic depsipeptide	Streptomyces sp. CNB091
BGC0001230	salinamide A, salinamide B, salinamide C, salinamide D, salinamide E, salinamide F, desmethylsalinamide C, desmethylsalinamide E	Modular type I polyketide	Streptomyces sp. CNB091
BGC0001766	salinamide A	NRP	Streptomyces sp. CNB091
BGC0002010	streptophenazine B, streptophenazine C, streptophenazine F, streptophenazine G, streptophenazine H	NRP	Streptomyces sp. CNB091
BGC0002010	streptophenazine B, streptophenazine C, streptophenazine F, streptophenazine G, streptophenazine H	Polyketide	Streptomyces sp. CNB091
BGC0000195	alnumycin A, alnumycin B, alnumycin C, alnumycin P, prealnumycin, thalnumycin A, thalnumycin B, K1115A, 1,6-dihydro-8-propylanthraquinone	Type II polyketide	Streptomyces sp. CM020
BGC0000157	tautomycetin	Polyketide	Streptomyces sp. CK4412
BGC0001846	valinomycin, montanastatin	NRP	Streptomyces sp. CBMAI 2042
BGC0001846	valinomycin, montanastatin	Hybrid/tailoring saccharide	Streptomyces sp. CBMAI 2042
BGC0001895	huanglongmycin A, huanglongmycin B, huanglongmycin C	Polyketide	Streptomyces sp. CB09001
BGC0001378	tiancimycin	Polyketide	Streptomyces sp. CB03234
BGC0001804	tiancimycin	Polyketide	Streptomyces sp. CB03234
BGC0002019	tiancilactone	Terpene	Streptomyces sp. CB03234
BGC0001584	C-1027	Polyketide	Streptomyces sp. CB02366
BGC0001823	weishanmycin	NRP	Streptomyces sp. CB02120-2
BGC0001823	weishanmycin	Polyketide	Streptomyces sp. CB02120-2
BGC0001611	guangnanmycin	NRP	Streptomyces sp. CB01883
BGC0001611	guangnanmycin	Polyketide	Streptomyces sp. CB01883
BGC0001625	isofuranonaphthoquinone	Polyketide	Streptomyces sp. CB01883
BGC0000469	bottromycin A2	Bottromycin	Streptomyces sp. BC16019
BGC0000368	streptobactin	NRP	Streptomyces sp. ATCC 700974
BGC0000605	GE37468	Thiopeptide	Streptomyces sp. ATCC 55365
BGC0000245	medermycin	Polyketide	Streptomyces sp. AM-7161
BGC0000429	skyllamycin A, skyllamycin B	Polyketide	Streptomyces sp. Acta 2897
BGC0000429	skyllamycin A, skyllamycin B	Cyclic depsipeptide	Streptomyces sp. Acta 2897
BGC0000300	amychelin	NRP	Streptomyces sp. AA4
BGC0000204	benastatin A, benastatin B, BE-43767, TAN1532B	Type II polyketide	Streptomyces sp. A2991200
BGC0001396	aldgamycin J, aldgamycin K, aldgamycin P, aldgamycin E	Polyketide	Streptomyces sp. A1(2016)
BGC0000140	4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one	Polyketide	Streptomyces sp. 88-682
BGC0001052	tirandamycin	NRP	Streptomyces sp. 307-9
BGC0001052	tirandamycin	Modular type I polyketide	Streptomyces sp. 307-9
BGC0000232	hatomarubigin A, hatomarubigin B, hatomarubigin C, hatomarubigin D	Polyketide	Streptomyces sp. 2238-SVT4
BGC0001523	azalomycin F3a	Polyketide	Streptomyces sp. 211726
BGC0000217	daunorubicin	Polyketide	Streptomyces sp.
BGC0001013	meridamycin	NRP	Streptomyces sp.
BGC0001013	meridamycin	Polyketide	Streptomyces sp.
BGC0001441	belactosin A, belactosin C	Other	Streptomyces sp.
BGC0001476	pseudouridimycin	Nucleoside	Streptomyces sp.
BGC0001497	actinonin	Polyketide	Streptomyces sp.
BGC0001512	BE-24566B	Polyketide	Streptomyces sp.
BGC0001556	combamide	NRP	Streptomyces sp.
BGC0001556	combamide	Polyketide	Streptomyces sp.
BGC0001622	isatropolone A, isotropolone B, isotropolone C	Polyketide	Streptomyces sp.
BGC0001648	lasalocid	Polyketide	Streptomyces sp.
BGC0001661	mayamycin	Polyketide	Streptomyces sp.
BGC0001696	neothioviridamide	RiPP	Streptomyces sp.
BGC0001707	nosiheptide	RiPP	Streptomyces sp.
BGC0001755	reedsmycins	Polyketide	Streptomyces sp.
BGC0001769	saquayamycin A	Polyketide	Streptomyces sp.
BGC0001918	JBIR-06	Polyketide	Streptomyces sp.
BGC0001918	JBIR-06	NRP	Streptomyces sp.
BGC0001920	siamycin I	RiPP	Streptomyces sp.
BGC0001921	MS-271	Other	Streptomyces sp.
BGC0001925	altemicidin, SB-203207, SB-203208	Alkaloid	Streptomyces sp.
BGC0001927	A-94964	Other	Streptomyces sp.
BGC0001948	naseseazine C, C3-aryl pyrroloindolines	Other	Streptomyces sp.
BGC0001961	ashimides	NRP	Streptomyces sp.
BGC0001984	sarpeptin A, sarpeptin B	NRP	Streptomyces sp.
BGC0001176	streptomonomicin	Lassopeptide	Streptomonospora alba
BGC0002045	Persiamycin A	Type II polyketide	Streptomonospora sp. PA3
BGC0000494	uberolysin	Lanthipeptide	Streptococcus uberis
BGC0000537	nisin U	Lanthipeptide	Streptococcus uberis
BGC0000561	thermophilin 1277	Lanthipeptide	Streptococcus thermophilus
BGC0001209	streptide	RiPP	Streptococcus thermophilus LMD-9
BGC0001787	suicin 3908	RiPP	Streptococcus suis
BGC0001788	suicin 65	RiPP	Streptococcus suis
BGC0001789	suicin 90-1330	RiPP	Streptococcus suis
BGC0000547	salivaricin 9	Lanthipeptide	Streptococcus salivarius
BGC0000548	salivaricin A	Lanthipeptide	Streptococcus salivarius
BGC0000549	salivaricin D	Lanthipeptide	Streptococcus salivarius
BGC0000550	salivaricin G32	Lanthipeptide	Streptococcus salivarius
BGC0000497	BHT-Aα, BHT-Aβ	Lanthipeptide	Streptococcus ratti
BGC0000556	streptin	Lanthipeptide	Streptococcus pyogenes
BGC0000557	streptococcin A-FF22	Lanthipeptide	Streptococcus pyogenes
BGC0000566	streptolysin S	LAP	Streptococcus pyogenes M1 GAS
BGC0000531	mutacin I	Lanthipeptide	Streptococcus mutans
BGC0000532	mutacin II	Lanthipeptide	Streptococcus mutans
BGC0000533	mutacin III	Lanthipeptide	Streptococcus mutans
BGC0000534	mutacin K8	Lanthipeptide	Streptococcus mutans
BGC0000552	SmbA, SmbB	Lanthipeptide	Streptococcus mutans
BGC0000530	mutacin B-Ny266	Lanthipeptide	Streptococcus mutans N66
BGC0000526	macedocin	Lanthipeptide	Streptococcus macedonicus
BGC0001929	WGK	RiPP	Streptococcus ferus
BGC0000498	bovicin HJ50	Lanthipeptide	Streptococcus equinus
BGC0000347	equibactin	NRP	Streptococcus equi subsp. equi
BGC0000740	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000741	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000742	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000743	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000744	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000745	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000746	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000747	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000748	capsular polysaccharide	Saccharide	Streptococcus agalactiae
BGC0000720	tobramycin	Saccharide	Streptoalloteichus tenebrarius
BGC0000721	tobramycin	Saccharide	Streptoalloteichus tenebrarius
BGC0000692	apramycin	Saccharide	Streptoalloteichus hindustanus
BGC0000719	tobramycin	Saccharide	Streptoalloteichus hindustanus
BGC0001048	tallysomycin A	Glycopeptide	Streptoalloteichus hindustanus
BGC0001048	tallysomycin A	Modular type I polyketide	Streptoalloteichus hindustanus
BGC0001048	tallysomycin A	Hybrid/tailoring saccharide	Streptoalloteichus hindustanus
BGC0000081	kedarcidin	Iterative type I polyketide	Streptoalloteichus sp. ATCC 53650
BGC0000081	kedarcidin	Enediyne type I polyketide	Streptoalloteichus sp. ATCC 53650
BGC0001432	myxochromide D	Cyclic depsipeptide	Stigmatella erecta
BGC0001432	myxochromide D	Iterative type I polyketide	Stigmatella erecta
BGC0000023	aurafuron A	Modular type I polyketide	Stigmatella aurantiaca DW4/3-1
BGC0000044	dawenol	Polyketide	Stigmatella aurantiaca DW4/3-1
BGC0001022	myxalamid	NRP	Stigmatella aurantiaca
BGC0001022	myxalamid	Polyketide	Stigmatella aurantiaca
BGC0001023	myxochromide S1	NRP	Stigmatella aurantiaca
BGC0001023	myxochromide S1	Modular type I polyketide	Stigmatella aurantiaca
BGC0001431	myxochromide S	Cyclic depsipeptide	Stigmatella aurantiaca
BGC0001431	myxochromide S	Iterative type I polyketide	Stigmatella aurantiaca
BGC0000986	dkxanthene	NRP	Stigmatella aurantiaca DW4/3-1
BGC0000986	dkxanthene	Polyketide	Stigmatella aurantiaca DW4/3-1
BGC0001024	myxothiazol	NRP	Stigmatella aurantiaca DW4/3-1
BGC0001024	myxothiazol	Modular type I polyketide	Stigmatella aurantiaca DW4/3-1
BGC0001429	myxochromide S1	Cyclic depsipeptide	Stigmatella aurantiaca DW4/3-1
BGC0001429	myxochromide S1	Iterative type I polyketide	Stigmatella aurantiaca DW4/3-1
BGC0000153	stigmatellin	NRP	Stigmatella aurantiaca Sg a15
BGC0000153	stigmatellin	Modular type I polyketide	Stigmatella aurantiaca Sg a15
BGC0001111	rhizopodin	NRP	Stigmatella aurantiaca Sg a15
BGC0001111	rhizopodin	Trans-AT type I polyketide	Stigmatella aurantiaca Sg a15
BGC0001343	aurachin A, aurachin D	Polyketide	Stigmatella aurantiaca Sg a15
BGC0001345	myxochelin A, myxochelin B	NRP	Stigmatella aurantiaca Sg a15
BGC0001430	myxochromide S	Cyclic depsipeptide	Stigmatella aurantiaca Sg a15
BGC0001430	myxochromide S	Iterative type I polyketide	Stigmatella aurantiaca Sg a15
BGC0001617	hirsutene	Terpene	Stereum hirsutum FP-91666 SS1
BGC0000539	nukacin ISK-1	Lanthipeptide	Staphylococcus warneri
BGC0001393	lugdunin	NRP	Staphylococcus lugdunensis N920143
BGC0001618	hyicin 3682	RiPP	Staphylococcus hyicus
BGC0000514	gallidermin	Lanthipeptide	Staphylococcus gallinarum
BGC0000507	epicidin	Lanthipeptide	Staphylococcus epidermidis
BGC0000508	epidermin	Lanthipeptide	Staphylococcus epidermidis
BGC0000509	epilancin 15x	Lanthipeptide	Staphylococcus epidermidis
BGC0000510	epilancin K7	Lanthipeptide	Staphylococcus epidermidis
BGC0000543	pep5	Lanthipeptide	Staphylococcus epidermidis
BGC0000916	molybdenum cofactor	Other	Staphylococcus carnosus
BGC0000555	staphylococcin C55 α, staphylococcin C55 β	Lanthipeptide	Staphylococcus aureus
BGC0000758	capsular polysaccharide	Exopolysaccharide	Staphylococcus aureus
BGC0000943	staphylobactin	Other	Staphylococcus aureus subsp. aureus NCTC 8325
BGC0000944	staphyloferrin A	Non-NRP siderophore	Staphylococcus aureus subsp. aureus NCTC 8325
BGC0000308	aureusimine	NRP	Staphylococcus aureus subsp. aureus str. JKD6008
BGC0000807	phosphonoglycans	Saccharide	Stackebrandtia nassauensis DSM 44728
BGC0001626	isoindolinone	Polyketide	Stachybotrys chlorohalonata IBT 40285
BGC0001390	LL-Z1272beta	NRP	Stachybotrys bisbyi
BGC0001390	LL-Z1272beta	Polyketide	Stachybotrys bisbyi
BGC0000852	ectoine	Other	Sporosarcina pasteurii
BGC0002055	mycalamide A	Trans-AT type I polyketide	sponge metagenome
BGC0002056	peloruside A	Trans-AT type I polyketide	sponge metagenome
BGC0000768	gellan polysaccharide	Saccharide	Sphingomonas elodea ATCC 31461
BGC0000797	sphingan polysaccharide	Saccharide	Sphingomonas sp. S88
BGC0000759	diutan polysaccharide	Saccharide	Sphingomonas sp. ATCC 53159
BGC0000577	sphingonodin II	Lassopeptide	Sphingobium japonicum UT26S
BGC0001505	anacyclamide D8P	RiPP	Sphaerospermopsis sp. LEGE 00249
BGC0001933	sphaerocyclamide	RiPP	Sphaerospermopsis sp. LEGE 00249
BGC0000798	dhurrin	Saccharide	Sorghum bicolor
BGC0001373	sordarin	Polyketide	Sordaria araneosa
BGC0000014	ambruticin	Polyketide	Sorangium cellulosum
BGC0000080	jerangolid A, jerangolid D	Polyketide	Sorangium cellulosum
BGC0000147	soraphen A	Modular type I polyketide	Sorangium cellulosum
BGC0000149	spirangien O	Modular type I polyketide	Sorangium cellulosum
BGC0000184	sorangicin A	Trans-AT type I polyketide	Sorangium cellulosum
BGC0000380	leupyrrin	NRP	Sorangium cellulosum
BGC0000380	leupyrrin	Modular type I polyketide	Sorangium cellulosum
BGC0000988	epothilone B	NRP	Sorangium cellulosum
BGC0000988	epothilone B	Polyketide	Sorangium cellulosum
BGC0000990	epothilone	NRP	Sorangium cellulosum
BGC0000990	epothilone	Polyketide	Sorangium cellulosum
BGC0000991	epothilone	NRP	Sorangium cellulosum
BGC0000991	epothilone	Polyketide	Sorangium cellulosum
BGC0001019	microsclerodermin M	NRP	Sorangium cellulosum
BGC0001019	microsclerodermin M	Modular type I polyketide	Sorangium cellulosum
BGC0001034	pellasoren	NRP	Sorangium cellulosum
BGC0001034	pellasoren	Modular type I polyketide	Sorangium cellulosum
BGC0001051	thuggacin A	NRP	Sorangium cellulosum
BGC0001051	thuggacin A	Modular type I polyketide	Sorangium cellulosum
BGC0001069	chivosazol	NRP	Sorangium cellulosum
BGC0001069	chivosazol	Trans-AT type I polyketide	Sorangium cellulosum
BGC0001093	disorazol A	NRP	Sorangium cellulosum
BGC0001093	disorazol A	Polyketide	Sorangium cellulosum
BGC0001299	chlorotonil A	Polyketide	Sorangium cellulosum
BGC0001761	ripostatin A, ripostatin B, ripostatin C	Polyketide	Sorangium cellulosum
BGC0000179	etnangien	Trans-AT type I polyketide	Sorangium cellulosum So ce56
BGC0001201	eremophilene	Terpene	Sorangium cellulosum So ce56
BGC0000989	epothilone	NRP	Sorangium cellulosum So0157-2
BGC0000989	epothilone	Polyketide	Sorangium cellulosum So0157-2
BGC0001324	monoterpenes-diterpenes	Terpene	Solanum pimpinellifolium
BGC0001323	monoterpenes-diterpenes	Terpene	Solanum pennellii
BGC0001322	lycosantalonol	Terpene	Solanum lycopersicum
BGC0001321	monoterpenes-diterpenes	Terpene	Solanum habrochaites
BGC0000801	galactoglucan	Saccharide	Sinorhizobium meliloti
BGC0000802	succinoglycan	Saccharide	Sinorhizobium meliloti
BGC0001605	gibberellin	Terpene	Sinorhizobium fredii NGR234
BGC0001816	valactamide A	NRP	Shuttle vector AtFAC9J20
BGC0001816	valactamide A	Polyketide	Shuttle vector AtFAC9J20
BGC0000812	huperzine A	Alkaloid	Shiraia sp. slf14
BGC0000862	eicosapentaenoic acid	Other	Shewanella pneumatophori
BGC0000861	eicosapentaenoic acid	Other	Shewanella sp. BR-2
BGC0001032	oocydin A	NRP	Serratia plymuthica
BGC0001032	oocydin A	Polyketide	Serratia plymuthica
BGC0001361	sodorifen	Terpene	Serratia plymuthica 4Rx13
BGC0001056	zeamine, zeamine I, zeamine II, prezeamine, prezeamine I	NRP	Serratia plymuthica RVH1
BGC0001056	zeamine, zeamine I, zeamine II, prezeamine, prezeamine I	Modular type I polyketide	Serratia plymuthica RVH1
BGC0001056	zeamine, zeamine I, zeamine II, prezeamine, prezeamine I	PUFA synthase or related polyketide	Serratia plymuthica RVH1
BGC0000259	prodigiosin	Polyketide	Serratia marcescens
BGC0001031	oocydin A	NRP	Serratia marcescens
BGC0001031	oocydin A	Polyketide	Serratia marcescens
BGC0001415	althiomycin	NRP	Serratia marcescens subsp. marcescens Db11
BGC0002002	1,6-phenazinedimethanol, fontizine A	NRP	Serratia fonticola
BGC0000258	prodigiosin	Polyketide	Serratia sp.
BGC0001664	merosterol	Terpene	Scytonema sp. PCC 10023
BGC0001246	trans-resorcylide	Polyketide	Sarocladium zeae
BGC0001827	xenovulene A	Polyketide	Sarocladium sp. 'schorii'
BGC0000793	lipopolysaccharide oligosaccharide	Saccharide	Salmonella enterica subsp. arizonae
BGC0000788	O-antigen	Saccharide	Salmonella enterica subsp. salamae serovar Greenside
BGC0000145	salinosporamide A	Polyketide	Salinispora tropica
BGC0000142	salinilactam	Polyketide	Salinispora tropica CNB-440
BGC0000150	sporolide A, sporolide B	NRP	Salinispora tropica CNB-440
BGC0000150	sporolide A, sporolide B	Enediyne type I polyketide	Salinispora tropica CNB-440
BGC0000241	lomaiviticin A, lomaiviticin C, lomaiviticin D, lomaiviticin E	Type II polyketide	Salinispora tropica CNB-440
BGC0000241	lomaiviticin A, lomaiviticin C, lomaiviticin D, lomaiviticin E	Hybrid/tailoring saccharide	Salinispora tropica CNB-440
BGC0001006	lymphostin, neolymphostinol B, lymphostinol, neolymphostin B	NRP	Salinispora tropica CNB-440
BGC0001006	lymphostin, neolymphostinol B, lymphostinol, neolymphostin B	Polyketide	Salinispora tropica CNB-440
BGC0001041	salinosporamide A	NRP	Salinispora tropica CNB-440
BGC0001041	salinosporamide A	Polyketide	Salinispora tropica CNB-440
BGC0001458	salinipostin G	Aminocoumarin	Salinispora tropica CNB-440
BGC0000240	lomaiviticin A, lomaiviticin C, lomaiviticin D, lomaiviticin E	Type II polyketide	Salinispora pacifica
BGC0000240	lomaiviticin A, lomaiviticin C, lomaiviticin D, lomaiviticin E	Hybrid/tailoring saccharide	Salinispora pacifica
BGC0001830	rosamicin, salinipyrone A, pacificanone A	Polyketide	Salinispora pacifica
BGC0001767	salinichelins	NRP	Salinispora pacifica CNY331
BGC0001237	thiolactomycin	Polyketide	Salinispora pacifica DSM 45543 = CNS-863
BGC0000198	arenimycin A	Type II polyketide	Salinispora arenicola CNB527
BGC0000198	arenimycin A	Hybrid/tailoring saccharide	Salinispora arenicola CNB527
BGC0001331	BE-43547A1, BE-43547A2, BE-43547B1, BE-43547B2, BE-43547B3, BE-43547C1, BE-43547C2	Cyclic depsipeptide	Salinispora arenicola CNR107
BGC0001331	BE-43547A1, BE-43547A2, BE-43547B1, BE-43547B2, BE-43547B3, BE-43547C1, BE-43547C2	Modular type I polyketide	Salinispora arenicola CNR107
BGC0000137	rifamycin	Polyketide	Salinispora arenicola CNS-205
BGC0000333	cyclomarin D	NRP	Salinispora arenicola CNS-205
BGC0000827	staurosporine	Alkaloid	Salinispora arenicola CNS-205
BGC0001007	lymphostin, neolymphostinol B, lymphostinol, neolymphostin b	Polyketide	Salinispora arenicola CNS-205
BGC0001007	lymphostin, neolymphostinol B, lymphostinol, neolymphostin b	NRP	Salinispora arenicola CNS-205
BGC0001228	retimycin A	Cyclic depsipeptide	Salinispora arenicola CNT005
BGC0001702	nocamycin	NRP	Saccharothrix syringae
BGC0001702	nocamycin	Polyketide	Saccharothrix syringae
BGC0000316	capreomycin IA, capreomycin IB, capreomycin IIA, capreomycin IIB	NRP	Saccharothrix mutabilis subsp. capreolus
BGC0000873	A-201A	Other	Saccharothrix mutabilis subsp. capreolus
BGC0001193	thiolutin	NRP	Saccharothrix algeriensis
BGC0000148	A83543A	Polyketide	Saccharopolyspora spinosa
BGC0000055	erythromycin A, erythromycin B, erythromycin C, erythromycin D	Modular type I polyketide	Saccharopolyspora erythraea NRRL 2338
BGC0000055	erythromycin A, erythromycin B, erythromycin C, erythromycin D	Hybrid/tailoring saccharide	Saccharopolyspora erythraea NRRL 2338
BGC0000285	flaviolin rhamnoside, 3,3'-diflaviolin, flaviolin	Type III polyketide	Saccharopolyspora erythraea
BGC0000285	flaviolin rhamnoside, 3,3'-diflaviolin, flaviolin	Oligosaccharide	Saccharopolyspora erythraea
BGC0000349	erythrochelin	NRP	Saccharopolyspora erythraea NRRL 2338
BGC0000513	Ery-9, Ery-6, Ery-8, Ery-7, Ery-5, Ery-4, Ery-3	Lanthipeptide	Saccharopolyspora erythraea NRRL 2338
BGC0000659	2-methylisoborneol	Terpene	Saccharopolyspora erythraea NRRL 2338
BGC0000902	flaviolin	Other	Saccharopolyspora erythraea NRRL 2338
BGC0001447	primycin	Polyketide	Saccharomonospora azurea SZMC 14600
BGC0000439	taromycin A	Ca+-dependent lipopeptide	Saccharomonospora sp. CNQ490
BGC0001311	flavecins	Lanthipeptide	Ruminococcus flavefaciens FD-1
BGC0001575	dipeptide aldehydes	NRP	Ruminococcus sp. 5_1_39BFAA
BGC0001891	closthioamide	Other	Ruminiclostridium cellulolyticum H10
BGC0000576	rubrivinodin	Lassopeptide	Rubrivivax gelatinosus IL144
BGC0001341	valinomycin	NRP	Rothia nasimurium
BGC0000575	lariatin	Lassopeptide	Rhodococcus jostii
BGC0000417	rhodochelin	NRP	Rhodococcus jostii RHA1
BGC0001075	aurachin RE	Terpene	Rhodococcus erythropolis
BGC0001075	aurachin RE	Polyketide	Rhodococcus erythropolis
BGC0000371	heterobactin A, heterobactin S2	NRP	Rhodococcus erythropolis PR4
BGC0000647	carotenoid	Terpene	Rhodobacter sphaeroides
